,SOURCE_ID,teff_gspphot,lum_flame,age_flame,mass_flame,radius_flame,evolstage_flame,flags_flame
126,5961457354732763136,4785.0747,8.307671,8.637296,1.0912237,4.1951613,735,11
127,5961457354732763392,7027.0747,124.61746,0.3772632,2.9444501,7.521909,413,00
128,5961457354732765056,8021.6196,14.01512,0.49883083,1.8447452,1.7562737,168,01
129,5961457354732766336,5008.2944,1315.7357,0.2912238,3.3021166,14.548485,307,02
130,5961457354732774144,5106.936,349.10632,0.45413798,2.805312,38.46782,644,12
131,5961457384726780800,8208.724,13.470539,0.63957244,1.8127707,1.8317436,185,00
132,5961457384726785536,3891.5037,0.13561572,,0.68465596,0.8065622,333,01
133,5961457384726785664,5054.0664,0.20288818,,,0.58972514,,21
134,5961457384730827648,4355.7827,0.39710635,,,1.1023325,380,21
135,5253649046391196416,5563.7734,0.2694086,,,0.5610739,,21
136,5253649046391206400,4817.3813,0.114319935,,,0.4863486,,21
137,5253649046424926208,7660.676,5.3705215,,,1.3099327,,21
138,5253649046424935552,5148.3945,0.16783279,,,0.5279484,,21
139,5253649046424940416,5002.774,3.2594922,8.362,1.0913752,2.4090981,526,11
140,5253649046424946432,4385.9517,0.14030895,2.5671096,0.69933873,0.64954334,129,01
141,6030059905280509824,4754.444,0.60815084,,,1.1760813,345,21
142,6030059905280512128,5978.7827,48.65141,1.6428859,1.7861364,9.2776,655,12
143,6030059905280525056,5024.736,5.1049733,4.7563963,1.271055,2.99738,597,11
144,6030059905280543232,4978.377,0.18041874,,,0.5947462,,21
145,5961527860847260544,4094.973,0.050792705,,,0.48002702,,21
146,5961527860847265920,4765.9155,0.10748355,,,0.4828008,,21
147,5253749583012871552,5636.7593,1.5017941,12.692544,0.941125,1.2997633,405,00
148,5253749583012872192,5289.274,0.97064155,13.331684,0.899516,1.1594092,362,00
149,5253749583012877568,6235.3843,11.006283,1.8856666,1.6488599,2.7483125,292,00
150,5253749583012878848,4939.925,0.11107395,,,0.4582568,,21
151,5253749583013000320,4727.337,0.06803332,,,0.3976817,,21
152,5253749613038671616,4545.6763,0.08271467,,,0.46528134,,21
153,5253749613039389952,4446.8105,0.1912981,2.4996827,0.71118385,0.7383766,207,00
154,5253603141809933696,5739.284,0.45959055,,,0.69506323,,21
155,5253603141809935616,7985.63,7.3040366,,,1.4110681,,21
156,5253603176130060672,4878.9604,0.08197434,,,0.4052344,,21
157,6030086980706777856,4378.2803,0.06948051,,,0.45754182,,21
158,6030086980760939136,4921.5454,0.49141824,,,0.97061044,454,20
159,5961457384742374784,15010.41,799.5378,,4.876501,4.1822667,252,01
160,5961457389092508928,4436.8813,0.6058777,,,1.3319595,350,21
161,5961457389092516224,7859.0234,51.706383,0.6546607,2.364716,3.820586,285,01
162,5961457389092520064,5082.483,9.011386,8.107749,1.1119815,4.852497,778,12
163,5961457389092523904,4650.019,0.12003481,,,0.53614265,,21
164,5253692167900686592,4773.8184,0.08373881,,,0.42602125,,21
165,5253692167900688768,4939.16,5.047105,6.5192776,1.1700124,3.074101,626,11
166,5253692167900689024,5123.3213,0.65853584,,,1.0274067,355,20
167,5253692167900689408,4724.9165,0.26103184,6.104012,0.76302046,0.76246655,296,00
168,5253692167900690304,7204.827,3.7850997,,,1.249317,,21
169,5253692167900695680,9586.485,25.5685,0.22408187,2.1873996,1.8228058,149,00
170,6030030630828512384,4376.242,0.054964066,,,0.40759903,,21
171,6030030630828517888,4911.9683,12.846543,2.062979,1.6500653,4.948378,563,11
172,6030030630828518528,5222.8516,0.2739919,,,0.6394655,,21
173,5961527860926463744,4345.205,0.056761097,,,0.43673998,,21
174,5961527860926464256,5112.1,309.20166,0.8933133,2.202243,25.899137,951,12
175,5961413374264873216,5093.2446,0.55563843,6.430284,0.82552373,0.9726066,322,00
176,5961413374264873984,4727.4644,187.79059,0.31696972,3.2043781,22.96151,617,12
177,5961413374264877312,4962.158,0.66007185,,,1.0957109,396,20
178,5961413404259901696,4827.5767,96.33009,0.555919,2.603195,14.020768,712,12
179,5961413404259901952,4441.309,0.17522708,3.2525492,0.7136006,0.7005467,197,00
180,5961413404259926016,4142.8535,0.12746873,3.321512,0.6303073,0.70074266,171,01
181,5961413404259931392,6965.1895,7.48395,1.4275416,1.5460106,1.8481501,224,01
182,5961413404259933184,5831.931,3.1068616,7.50256,1.1001031,1.7407984,435,00
183,5961413404259939968,4680.283,1.0074557,,,1.5364326,366,21
184,5961413404259949824,4419.3228,0.06392153,,,0.44031578,,21
185,5961413404259962112,4488.3896,0.13335423,2.5139253,0.72372603,0.6008139,136,00
186,5961413404265085056,4745.5205,0.15456885,,,0.582205,,21
187,5961413404265086080,4719.708,0.13981277,,,0.573389,,21
188,5961553699458862208,5816.245,72.73585,0.69629043,2.4020562,10.94302,684,12
189,5961553699458867584,4582.669,25.978594,0.50227606,2.7037473,8.095546,558,11
190,5961553699458876928,4885.4897,0.44836134,,,0.9345887,416,21
191,5961553699458880896,5878.027,285.6769,0.25116554,3.4852216,21.169807,753,12
192,5961553699458882048,9615.031,14.402843,,,1.3645788,,21
193,5961553699458886784,5433.191,113.94327,0.6622811,2.4383051,13.388212,805,12
194,5961553699458891776,4635.127,10.840554,8.118765,1.1112475,5.1064076,767,11
195,5961553699459195904,4302.306,0.037962917,,,0.35979837,,21
196,6030059905310042624,4185.522,0.071975864,,,0.5192453,,21
197,6030059935275595136,5297.4775,1.6610153,,0.9425454,1.5131873,439,01
198,6030059935275602816,4803.6357,35.882446,0.6211757,2.5021095,8.520034,535,12
199,6030059935275608320,5098.6216,399.94186,,3.99142,26.789137,734,12
200,6030059935275614720,4818.016,1.2993611,,,1.6306883,359,21
201,5253749617372360192,5317.588,0.77304727,,,1.0390671,358,21
202,5253749617372361088,5077.028,4.34893,4.5893855,1.2797102,2.6971383,537,11
203,5253749617372599680,5477.641,0.99778366,10.905292,0.9349179,1.1396551,366,00
204,5253749617372600704,4635.768,0.073795356,,,0.43370274,,21
205,5253749617372602496,4539.0283,8.592476,12.712558,0.9824424,4.819852,577,12
206,5253749617372602624,6585.991,3.5825105,1.9813087,1.3098129,1.4511567,218,00
207,5253749617372603648,4432.7935,42.490273,6.351347,1.1921531,11.024343,902,10
208,5253749617372738944,5611.251,0.34368372,,,0.61661726,,21
209,5253749617372739072,4780.3223,0.35737774,,,0.8784603,418,21
210,5253649046424953984,4712.5547,13.218741,2.7694564,1.5018175,5.4537625,597,11
211,5253649076445059584,5193.8354,0.1951906,,,0.569039,,21
212,5253649076445064704,6244.229,2.0672953,2.4697921,1.1835053,1.2227628,222,00
213,5253649076445593600,4783.4727,0.101364784,,,0.46482855,,21
214,5253649076445599360,5076.9585,0.17685835,,,0.54705757,,21
215,5253649076445816960,4715.1426,0.08467191,,,0.43975088,,21
216,5253649076451842048,4246.0117,0.09812678,,,0.5793174,,21
217,5253649076463018880,4885.9136,0.122706085,,,0.48898464,,21
218,5253649076470145280,4805.094,0.07845147,,,0.40715727,,21
219,5253649076477815808,5298.1523,0.19371022,,,0.5305432,,21
220,5253603176169075328,5744.933,1.3629485,9.474671,0.97759634,1.1717811,355,00
221,5253603176169725184,8182.1924,7.0000243,,,1.3183588,,21
222,5253603176169729792,5122.902,42.9076,0.5569248,2.602173,9.228571,525,12
223,5253603176169733248,5135.4043,0.14821103,,,0.48735872,259,21
224,5253603176169737984,5292.966,0.1597243,,,0.4916604,,21
225,5253603176169738112,5099.573,290.2984,,3.9943585,21.855959,536,10
226,5253603176169741056,4622.457,37.17944,0.620275,2.5035028,8.81838,543,10
